key,ar,en,fr,ge,ja,ko,po,sp,tu,ta
Errors.PvP.NoAdTicketsToday,لا تملك تذاكر إعلانات PvP لليوم.,No more PvP ad tickets today.,Plus de tickets pub PvP aujourd'hui.,Heute keine PvP-Werbetickets mehr.,本日のPvP広告チケットはもう残っていません。,오늘 PvP 광고 티켓이 남아 있지 않습니다.,Sem mais tickets de anúncio PvP hoje.,No quedan tickets de anuncio PvP hoy.,Bugün için reklam biletiniz kalmadı.,Nessun ticket pubblicità PvP rimasto oggi.
Errors.PvP.NoTicketsRemaining,لا تملك تذاكر PvP متبقية.,No PvP tickets remaining.,Plus de tickets PvP.,Keine PvP-Tickets mehr.,PvPチケットが残っていません。,PvP 티켓이 남아 있지 않습니다.,Sem tickets PvP restantes.,No quedan tickets PvP.,PvP biletiniz kalmadı.,Nessun ticket PvP rimasto.
Errors.PvP.OpponentNotFound,الخصم غير موجود.,Opponent not found.,Adversaire introuvable.,Gegner nicht gefunden.,対戦相手が見つかりません。,상대를 찾을 수 없습니다.,Oponente não encontrado.,Oponente no encontrado.,Rakip bulunamadı.,Avversario non trovato.
Errors.PvP.ReportBattleFailed,فشل إرسال نتيجة المعركة.,Failed to report battle.,Échec d'envoi du résultat.,Kampfergebnis konnte nicht gesendet werden.,バトル結果の送信に失敗しました。,전투 결과 전송에 실패했습니다.,Falha ao enviar resultado do combate.,Error al enviar el resultado del combate.,Maç sonucu gönderilemedi.,Invio risultato battaglia fallito.
Errors.PvP.RosterExpired,انتهت قائمة الخصوم.,Opponent roster expired.,Liste d'adversaires expirée.,Gegnerliste abgelaufen.,対戦相手リストの有効期限が切れました。,상대 목록이 만료되었습니다.,Lista de oponentes expirada.,Lista de oponentes expirada.,Rakip listesi sona erdi.,Lista avversari scaduta.
Errors.PvP.StartBattleFailed,فشل بدء معركة PvP.,Failed to start PvP battle.,Échec du démarrage du combat PvP.,PvP-Kampf konnte nicht gestartet werden.,PvPバトルの開始に失敗しました。,PvP 전투 시작에 실패했습니다.,Falha ao iniciar combate PvP.,Error al iniciar el combate PvP.,Maç başlatılamadı.,Avvio battaglia PvP fallito.
Errors.Redeem.AlreadyRedeemed,لقد استخدمت هذا الرمز بالفعل,You've already used this code,Vous avez déjà utilisé ce code,Du hast diesen Code bereits eingelöst,このコードはすでに使用済みです,이미 사용한 코드입니다,Você já usou este código,Ya has usado este código,Bu kodu zaten kullandın,Hai già usato questo codice
Errors.Redeem.Expired,انتهت صلاحية هذا الرمز,This code has expired,Ce code a expiré,Dieser Code ist abgelaufen,このコードは期限切れです,이 코드는 만료되었습니다,Este código expirou,Este código ha caducado,Bu kodun süresi dolmuş,Questo codice è scaduto
Errors.Redeem.Generic,حدث خطأ ما. يرجى المحاولة مرة أخرى.,Something went wrong. Please try again.,Une erreur s'est produite. Veuillez réessayer.,Etwas ist schiefgelaufen. Bitte versuche es erneut.,問題が発生しました。もう一度お試しください。,문제가 발생했습니다. 다시 시도하세요.,Algo deu errado. Tente novamente.,Algo salió mal. Inténtalo de nuevo.,Bir şeyler ters gitti. Lütfen tekrar dene.,Qualcosa è andato storto. Riprova.
Errors.Redeem.Invalid,رمز غير صالح,Invalid code,Code invalide,Ungültiger Code,無効なコードです,유효하지 않은 코드입니다,Código inválido,Código no válido,Geçersiz kod,Codice non valido
Errors.Redeem.LevelNotMet,أنت لا تستوفي شرط المستوى لهذا الرمز,You don't meet the level requirement for this code,Vous ne remplissez pas la condition de niveau pour ce code,Du erfüllst die Levelanforderung für diesen Code nicht,このコードのレベル条件を満たしていません,이 코드의 레벨 요건을 충족하지 않습니다,Você não atende ao requisito de nível deste código,No cumples el requisito de nivel para este código,Bu kod için seviye şartını karşılamıyorsun,Non soddisfi il requisito di livello per questo codice
Errors.Redeem.LimitReached,وصل هذا الرمز إلى الحد الأقصى,This code has reached its limit,Ce code a atteint sa limite,Dieser Code hat sein Limit erreicht,このコードは上限に達しました,이 코드는 사용 한도에 도달했습니다,Este código atingiu o limite,Este código alcanzó su límite,Bu kod kullanım limitine ulaştı,Questo codice ha raggiunto il limite
Errors.Redeem.TooManyAttempts,محاولات كثيرة جدًا. يرجى المحاولة لاحقًا.,Too many attempts. Please try again later.,Trop de tentatives. Réessayez plus tard.,Zu viele Versuche. Bitte versuche es später erneut.,試行回数が多すぎます。後でもう一度お試しください。,시도 횟수가 너무 많습니다. 나중에 다시 시도하세요.,Tentativas em excesso. Tente novamente mais tarde.,Demasiados intentos. Inténtalo de nuevo más tarde.,Çok fazla deneme yaptın. Lütfen sonra tekrar dene.,Troppi tentativi. Riprova più tardi.
Errors.RegistrationFailed,فشل التسجيل,Registration failed,Échec de l'inscription,Registrierung fehlgeschlagen,登録に失敗しました,가입 실패,Falha no cadastro,Error de registro,Kayıt başarısız,Registrazione fallita
Errors.Report.NoReasonSelected,يرجى اختيار سبب واحد على الأقل,Please select at least one reason,Sélectionne au moins une raison,Bitte wähle mindestens einen Grund,理由を1つ以上選択してください,사유를 1개 이상 선택하세요,Selecione ao menos um motivo,Selecciona al menos una razón,Lütfen en az bir sebep seç,Seleziona almeno un motivo
Errors.Report.SubmitFailed,فشل إرسال البلاغ. يرجى المحاولة مجدداً.,Report failed. Please try again.,Échec du signalement. Réessaie.,Meldung fehlgeschlagen. Bitte erneut versuchen.,通報の送信に失敗しました。再度お試しください。,신고 전송에 실패했습니다. 다시 시도하세요.,Falha ao enviar denúncia. Tente novamente.,Error al enviar el reporte. Inténtalo de nuevo.,Rapor başarısız. Lütfen tekrar dene.,Segnalazione fallita. Riprova.
Errors.Report.Success,تم إرسال البلاغ. شكراً!,Report submitted. Thank you!,Signalement envoyé. Merci !,Meldung gesendet. Danke!,通報を送信しました。ありがとうございます!,신고가 전송되었습니다. 감사합니다!,Denúncia enviada. Obrigado!,Reporte enviado. ¡Gracias!,Rapor gönderildi. Teşekkürler!,Segnalazione inviata. Grazie!
Errors.RewardedAdFailed,فشل تشغيل الإعلان.,Rewarded ad failed.,Échec de la pub récompensée.,Belohnte Werbung fehlgeschlagen.,リワード広告の表示に失敗しました。,보상형 광고 표시에 실패했습니다.,Falha ao exibir o anúncio recompensado.,Error al mostrar el anuncio recompensado.,Reklam gösterilemedi.,Pubblicità ricompensata fallita.
Errors.UnlockAtLevel,يُفتح في المستوى {0},Unlock at Level {0},Se débloque au Niveau {0},Wird auf Stufe {0} freigeschaltet,レベル{0}で解放,레벨 {0}에서 잠금 해제,Desbloqueia no Nível {0},Se desbloquea en el Nivel {0},Seviye {0}'da açılır,Si sblocca al Livello {0}
Items.Backpack.Name.12,حقيبة سفر,Travel Pack,Sac de Voyage,Reisetasche,トラベルパック,트래블 팩,Bolsa de Viagem,Bolsa de Viaje,Seyahat Çantası,Sacca da Viaggio
Items.Backpack.Name.13,لفافة فراش,Bed Roll,Sac de Couchage,Schlafrolle,ベッドロール,침낭,Saco de Dormir,Saco de Dormir,Yatak Rulosu,Sacco a Pelo
Items.Backpack.Name.1344,درع الجليد,Ice Shield,Bouclier de Glace,Eisschild,アイスシールド,아이스 실드,Escudo de Gelo,Escudo de Hielo,Buz Kalkan,Scudo di Ghiaccio
Items.Backpack.Name.1345,درع الصقيع,Frost Shield,Bouclier de Givre,Frostschild,フロストシールド,프로스트 실드,Escudo de Geada,Escudo de Escarcha,Don Kalkanı,Scudo di Gelo
Items.Backpack.Name.1396,سفر جهنمي,Infernal Tome,Tome Infernal,Höllen-Foliant,インファーナルトーム,인페르날 토메,Tomo Infernal,Tomo Infernal,Cehennem Tomu,Tomo Infernale
Items.Backpack.Name.1397,حقيبة قرمزية,Crimson Backpack,Sac Cramoisi,Karmesin-Rucksack,クリムゾンバックパック,크림슨 백팩,Mochila Carmesim,Mochila Carmesí,Kızıl Çanta,Zaino Cremisi
Items.Backpack.Name.1398,قيثارة سماوية,Celestial Lyre,Lyre Céleste,Himmlische Lyra,セレスティアルライアー,셀레스티얼 라이어,Lira Celestial,Lira Celestial,Semavi Arp,Lira Celeste
Items.Backpack.Name.1399,درع متألق,Radiant Shield,Bouclier Radieux,Strahlender Schild,ラディアントシールド,래디언트 실드,Escudo Radiante,Escudo Radiante,Parlak Kalkan,Scudo Radiante
Items.Backpack.Name.16,حقيبة خشنة,Hide Backpack,Sac en Cuir Brut,Fellrucksack,ハイドバックパック,하이드 백팩,Mochila de Couro Cru,Mochila de Cuero Crudo,Post Çantası,Zaino di Pelle Grezza
Items.Backpack.Name.17,حزمة أسهم,Arrow Bundle,Botte de Flèches,Pfeilbündel,アローバンドル,화살 묶음,Feixe de Flechas,Haz de Flechas,Ok Destesi,Fascio di Frecce
Items.Backpack.Name.19,درع مستدير,Round Shield,Bouclier Rond,Rundschild,ラウンドシールド,라운드 실드,Escudo Redondo,Escudo Redondo,Yuvarlak Kalkan,Scudo Rotondo
Items.Backpack.Name.20,جعبة,Quiver,Carquois,Köcher,クイバー,화살통,Aljava,Carcaj,Sadak,Faretra
Items.Backpack.Name.39,جعبة الرامي,Archer Quiver,Carquois d'Archer,Bogenschützen-Köcher,アーチャークイバー,아처 화살통,Aljava de Arqueiro,Carcaj de Arquero,Okçu Sadağı,Faretra dell'Arciere
Items.Backpack.Name.41,درع التمبلر,Templar Shield,Bouclier Templier,Templer-Schild,テンプラーシールド,템플러 실드,Escudo Templário,Escudo Templario,Tapınakçı Kalkanı,Scudo Templare
Items.Backpack.Name.42,درع قطرة,Kite Shield,Bouclier en Goutte,Tropfenschild,カイトシールド,카이트 실드,Escudo de Pipa,Escudo de Cometa,Damla Kalkan,Scudo a Goccia
Items.Backpack.Name.43,درع الفارس,Knight Shield,Bouclier de Chevalier,Ritterschild,ナイトシールド,나이트 실드,Escudo de Cavaleiro,Escudo de Caballero,Şövalye Kalkanı,Scudo del Cavaliere
Items.Backpack.Name.44,حقيبة الغموض,Arcane Backpack,Sac Arcane,Arkaner Rucksack,アーケインバックパック,아케인 백팩,Mochila Arcana,Mochila Arcana,Gizemli Çanta,Zaino Arcano
Items.Backpack.Name.45,درع روحاني,Mystic Shield,Bouclier Mystique,Mystischer Schild,ミスティックシールド,미스틱 실드,Escudo Místico,Escudo Místico,Mistik Kalkan,Scudo Mistico
Items.Backpack.Name.46,كتاب مقدس,Sacred Book,Livre Sacré,Heiliges Buch,聖典,성서,Livro Sagrado,Libro Sagrado,Mukaddes Kitap,Libro Sacro
Items.Backpack.Name.47,جعبة برية,Wild Quiver,Carquois Sauvage,Wilder Köcher,ワイルドクイバー,와일드 화살통,Aljava Selvagem,Carcaj Salvaje,Vahşi Sadak,Faretra Selvaggia
Items.Cape.Name.1,عباءة فلاح,Peasant Cloak,Cape de Paysan,Bauern-Umhang,ピーザントクローク,페전트 클록,Manto de Camponês,Capa de Campesino,Köylü Pelerini,Mantello del Contadino
Items.Cape.Name.10,عباءة الشيطان,Fiend Cloak,Cape de Démon,Unhold-Umhang,フィエンドクローク,피엔드 클록,Manto de Demônio,Capa de Demonio,Şeytan Pelerini,Mantello del Demone
Items.Cape.Name.11,عباءة الكهنوت,Holy Cloak,Cape Sainte,Heiliger Umhang,ホーリークローク,홀리 클록,Manto Santo,Capa Santa,Kutsal Pelerin,Mantello Santo
Items.Cape.Name.12,عباءة إلهية,Divine Cloak,Cape Divine,Göttlicher Umhang,ディヴァインクローク,디바인 클록,Manto Divino,Capa Divina,İlahi Pelerin,Mantello Divino
Items.Cape.Name.2,عباءة جلدية,Leather Cloak,Cape en Cuir,Lederumhang,レザークローク,레더 클록,Manto de Couro,Capa de Cuero,Deri Pelerin,Mantello di Cuoio
Items.Cape.Name.3,عباءة برتقالية,Orange Cloak,Cape Orange,Oranger Umhang,オレンジクローク,오렌지 클록,Manto Laranja,Capa Naranja,Turuncu Pelerin,Mantello Arancione
Items.Cape.Name.4,عباءة خضراء,Green Cloak,Cape Verte,Grüner Umhang,グリーンクローク,그린 클록,Manto Verde,Capa Verde,Yeşil Pelerin,Mantello Verde
Items.Cape.Name.5,عباءة الفارس,Knight Cloak,Cape de Chevalier,Ritter-Umhang,ナイトクローク,나이트 클록,Manto de Cavaleiro,Capa de Caballero,Şövalye Pelerini,Mantello del Cavaliere
Items.Cape.Name.6,عباءة ملكية,Royal Cloak,Cape Royale,Königlicher Umhang,ロイヤルクローク,로열 클록,Manto Real,Capa Real,Kraliyet Pelerini,Mantello Reale
Items.Cape.Name.7,عباءة الدرويد,Druid Cloak,Cape de Druide,Druiden-Umhang,ドルイドクローク,드루이드 클록,Manto de Druida,Capa de Druida,Druid Pelerini,Mantello del Druido
Items.Cape.Name.8,عباءة متجمدة,Frozen Cloak,Cape Gelée,Gefrorener Umhang,フローズンクローク,프로즌 클록,Manto Congelado,Capa Congelada,Donmuş Pelerin,Mantello Congelato
Items.Cape.Name.9,عباءة مصاص الدماء,Vampire Cloak,Cape de Vampire,Vampir-Umhang,ヴァンパイアクローク,뱀파이어 클록,Manto de Vampiro,Capa de Vampiro,Vampir Pelerini,Mantello del Vampiro
Items.Chest.Name.epic,الصندوق الملحمي,Epic Chest,Coffre épique,Epische Truhe,エピックチェスト,에픽 상자,Baú épico,Cofre épico,Destansı Sandık,Forziere epico
Items.Chest.Name.legendary,الصندوق الأسطوري,Legendary Chest,Coffre légendaire,Legendäre Truhe,レジェンダリーチェスト,전설 상자,Baú lendário,Cofre legendario,Efsanevi Sandık,Forziere leggendario
